miRNA	target	score
hsa-let-7b-5p	SPRYD4	1
hsa-let-7b-5p	SMC1A	1
hsa-let-7b-5p	GFM2	1
hsa-let-7b-5p	PLCG2	1
hsa-let-7b-5p	PRTG	1
hsa-let-7b-5p	ONECUT2	1
hsa-let-7b-5p	TSC22D2	1
hsa-let-7b-5p	TAF9B	1
hsa-let-7b-5p	POLR2D	1
hsa-let-7b-5p	AHCTF1	1
hsa-let-7b-5p	ABHD17C	1
hsa-let-7b-5p	GOLGA4	1
hsa-let-7b-5p	BZW1	1
hsa-let-7b-5p	E2F2	1
hsa-let-7b-5p	BCAT1	1
hsa-let-7b-5p	FARP1	1
hsa-let-7b-5p	MLLT10	1
hsa-let-7b-5p	SURF4	1
hsa-let-7b-5p	FIGN	1
hsa-let-7b-5p	KCTD21	1
hsa-let-7b-5p	ECHDC1	1
hsa-let-7b-5p	CCNJ	1
hsa-let-7b-5p	RBM19	1
hsa-let-7b-5p	IGDCC4	1
hsa-let-7b-5p	PPP2R2A	1
hsa-let-7b-5p	NHLRC3	1
hsa-let-7b-5p	CDCA8	1
hsa-let-7b-5p	VIRMA	1
hsa-let-7b-5p	PRSS22	1
hsa-let-7b-5p	ANKRD52	1
hsa-let-7b-5p	MYCBP	1
hsa-let-7b-5p	LRIG3	1
hsa-let-7b-5p	ZCCHC9	1
hsa-let-7b-5p	SPRYD7	1
hsa-let-7b-5p	ZBTB5	1
hsa-let-7b-5p	PPP1R16B	1
hsa-let-7b-5p	GNG5	1
hsa-let-7b-5p	ZBTB8OS	1
hsa-let-7b-5p	NME6	1
hsa-let-7b-5p	RNMT	1
hsa-let-7b-5p	TRIM71	1
hsa-let-7b-5p	PDP2	1
hsa-let-7b-5p	ZNF200	1
hsa-let-7b-5p	IGF2BP2	1
hsa-let-7b-5p	SLC1A4	1
hsa-let-7b-5p	FNDC3A	1
hsa-let-7b-5p	KIAA0930	1
hsa-let-7b-5p	ABT1	1
hsa-let-7b-5p	RAB40C	1
hsa-let-7b-5p	TXLNA	1
hsa-let-7b-5p	DNAJC1	1
hsa-let-7b-5p	HMGA1	1
hsa-let-7b-5p	SYT1	1
hsa-let-7b-5p	NSD1	1
